id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"10117","Action Jackson","4.8","1988","It's Time For Action","7000000","20256975","Action|Adventure|Comedy|Crime|Drama"
"4513","30 Days of Night","6.3","2007","They're Coming!","30000000","75505973","Horror|Thriller"
"10118","Material Girls","4.8","2006","It's A Short Trip From The Penthouse To The Poorhouse.",,"11449638","Comedy|Drama|Family|Romance"
"157841","The Young and Prodigious T.S. Spivet","6.5","2013",,"33000000","9494789","Adventure|Drama|Family"
"45156","A Little Bit of Heaven","6.3","2011","Life starts now.",,"1296937","Comedy|Drama|Romance"
"10122","Flight of the Navigator","7.2","1986","Come along on the greatest adventure of the summer!","9000000","18564613","Adventure|Family|Science Fiction"
"157845","The Rover","6.3","2014","Fear the man with nothing left to lose.","12250000","2510007","Crime|Drama"
"4515","Lions for Lambs","5.8","2007","If you don't STAND for something, you might FALL for anything.","35000000","64811540","Action|Adventure|Drama|History"
"101267","Katy Perry: Part of Me","6.1","2012","Be yourself and you can be anything","12000000","32726956","Documentary|Music"
"10126","Colors","5.9","1988","70,000 gang members. One million guns. Two cops.","6000000","46616067","Action|Crime|Drama"
"157847","Joe","7.2","2013",,"4000000","2431443","Drama"
"45162","Superman/Batman: Apocalypse","7.3","2010","The end is near.","3500000",,"Action|Adventure|Animation|Science Fiction"
"10127","Critters 2","5.8","1988","Get Ready for Seconds... They're Back","4500000","3813293","Comedy|Horror|Science Fiction"
"4517","Elizabeth: The Golden Age","6.1","2007","Woman. Warrior. Queen.","55000000","74237563","Drama|History|Romance"
"101299","The Hunger Games: Catching Fire","7.7","2013","Every revolution begins with a spark.","130000000","865011746","Action|Adventure|Science Fiction|Thriller"
"157849","A Most Wanted Man","6.8","2014",,"15000000","31554855","Thriller"
"10130","Gorillas in the Mist","7.6","1988","She left everything she knew and entered a world few have ever seen. To save a wonderous creature from the cruelty of men, she went further than anyone dared. Some say she went too far...","22000000",,"Drama"
"4518","Elizabeth","7.2","1998",,"30000000","82150642","Drama|History"
"157851","Maps to the Stars","5.1","2015",,"15000000","1338365","Drama"
"10131","A Nightmare on Elm Street 4: The Dream Master","6.3","1988","Terror beyond your wildest dreams.","6000000","49400000","Horror|Thriller"
"15785","Cherry 2000","6.4","1987","Need A Bounty Hunter? She's Your Man.","10000000","14000","Science Fiction"
"10133","Cypher","7.4","2002","Never forget who you are","7500000","898365","Mystery|Science Fiction|Thriller"
"451","Leaving Las Vegas","6.7","1995","I Love You... The Way You Are.","3600000","49800000","Drama|Romance"
"4520","Sleuth","7.4","2007","Obey the rules.",,"342835","Thriller"
"10134","Cyborg","5.3","1989","He's the First Hero of the 21st Century... And He's Our Only Hope.","500000","10166459","Action|Science Fiction"
"15789","A Goofy Movie","6.8","1995","It's the story of a father who couldn't be closer...to driving his son crazy.","18000000","35348597","Adventure|Animation|Comedy|Family|Musical|Romance"
